Candidate Number,Candidate,Coalition,Party,Votes,Votes %,PulseAsia Survey 2019 (Jan 26-31),PulseAsia Survey 2019 (Feb 24-28),PulseAsia Survey 2019 (Mar 23-27),PulseAsia Survey 2019 (Apr 10-14),PulseAsia Survey 2019 (May 3-6),Win,
14,Cynthia Villar,HNP,Nacionalista,25283727,53.5,60.5,61,63.7,51.7,55.9,1,
30,Grace Poe,,Independent,22029788,46.6,74.9,67.5,72.6,50.5,47.7,1,
9,Bong Go,HNP,PDP - Laban,20657702,42.4,44.7,53,55.7,40.8,42,1,
49,Pia Cayetano,HNP,Nacionalista,19789019,41.8,63.3,47,52.2,43.9,45,1,
6,Bato Dela Rosa,HNP,PDP - Laban,19004225,40.2,36.9,44.6,44.8,36.7,37.9,1,
58,Sonny Angara,HNP,LDP,18161862,38.4,48.8,52.2,58.5,40.4,36.3,1,
42,Lito Lapid,,NPC,16965464,35.9,53.3,49,48.4,45.7,38.5,1,
31,Imee Marcos,HNP,Nacionalista,15882628,33.6,41.2,36,39,29.6,34.1,1,
24,Francis Tolentino,HNP,PDP - Laban,15510026,32.8,21.4,32.1,35.7,22.8,28.9,1,
40,Koko Pimentel,HNP,PDP - Laban,14668665,31,45.5,35.6,33.6,31.8,31.7,1,
10,Bong Revilla,HNP,Lakas,14624445,30.9,40.2,36.8,40.9,38.1,39.5,1,
47,Nancy Binay,UNA,UNA,14504936,30.7,50.1,40.5,45.5,36.2,32.8,1,
38,JV Ejercito,HNP,NPC,14313727,30.3,32.8,27.6,28.1,28.1,31.2,0,
5,Bam Aquino,Otso Diretso,Liberal,14144923,29.9,38.5,30.4,33.8,28.8,30.6,0,
34,Jinggoy Estrada,HNP,PMP,11359305,24,44.3,33.9,35.2,28.8,30.8,0,
44,Mar Roxas,Otso Diretso,Liberal,9843288,20.8,41.8,39.8,31.3,24.5,21.1,0,
56,Serge Osmeña,,Independent,9455202,20,37.7,26.7,33,24.6,23.3,0,
17,Doc Willie Ong,,Lakas,7616265,16.1,5.9,9.1,11.2,10.5,8.1,0,
18,Dong Mangudadatu,HNP,PDP - Laban,7499604,15.9,10.5,12.5,13.8,11,15.5,0,
33,Jiggy Manicad,HNP,Independent,6896889,14.6,8.4,11.9,11.5,10.6,10.3,0,
13,Chel Diokno,Otso Diretso,Liberal,6342939,13.4,4.6,6.9,4.6,5.3,6.6,0,
